ID,City,Gender,Product Line,Tax 5%,Total,Date,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
28,Seattle,Female,Fashion accessories,8.767,184.107,3/10/2019,Credit card,175.34,4.761904762,8.767,7.7
29,St. Louis,Female,Food and beverages,22.09,463.89,1/25/2019,Mobile Payments,441.8,4.761904762,22.09,9.6
30,Seattle,Male,Health and beauty,11.2005,235.2105,3/15/2019,Mobile Payments,224.01,4.761904762,11.2005,7.4
31,St. Louis,Male,Fashion accessories,23.5325,494.1825,2/25/2019,Credit card,470.65,4.761904762,23.5325,4.8
32,St. Louis,Male,Sports and travel,35.1315,737.7615,1/28/2019,Mobile Payments,702.63,4.761904762,35.1315,4.5
33,St. Louis,Male,Sports and travel,33.512,703.752,1/10/2019,Mobile Payments,670.24,4.761904762,33.512,5.1
34,Seattle,Male,Health and beauty,9.658,202.818,3/15/2019,Credit card,193.16,4.761904762,9.658,5.1
35,Phoenix,Female,Food and beverages,19.884,417.564,2/6/2019,Mobile payments,397.68,4.761904762,19.884,7.5
36,Phoenix,Female,Sports and travel,3.406,71.526,1/7/2019,Mobile payments,68.12,4.761904762,3.406,6.8
37,Seattle,Male,Sports and travel,15.655,328.755,3/10/2019,Mobile payments,313.1,4.761904762,15.655,7
38,Seattle,Female,Electronic accessories,27.396,575.316,1/15/2019,Mobile payments,547.92,4.761904762,27.396,4.7
39,Phoenix,Female,Health and beauty,21.968,461.328,3/23/2019,Mobile payments,439.36,4.761904762,21.968,7.6
40,St. Louis,Male,Home and lifestyle,12.048,253.008,3/3/2019,Gift cards,240.96,4.761904762,12.048,7.7
41,St. Louis,Female,Home and lifestyle,4.336,91.056,1/17/2019,Mobile payments,86.72,4.761904762,4.336,7.9
42,Phoenix,Male,Home and lifestyle,5.611,117.831,2/2/2019,Mobile Payments,112.22,4.761904762,5.611,6.3
43,St. Louis,Female,Sports and travel,20.736,435.456,2/8/2019,Mobile Payments,414.72,4.761904762,20.736,5.6
44,Phoenix,Female,Food and beverages,39.48,829.08,3/4/2019,Mobile Payments,789.6,4.761904762,39.48,7.6
45,Phoenix,Male,Health and beauty,1.537,32.277,3/16/2019,Mobile Payments,30.74,4.761904762,1.537,7.2
46,St. Louis,Female,Electronic accessories,18.792,394.632,3/9/2019,Mobile Payments,375.84,4.761904762,18.792,9.5
47,St. Louis,Male,Health and beauty,25.5105,535.7205,2/27/2019,Credit card,510.21,4.761904762,25.5105,8.4
48,St. Louis,Female,Food and beverages,9.0045,189.0945,2/6/2019,Mobile payments,180.09,4.761904762,9.0045,4.1
49,St. Louis,Male,Electronic accessories,5.679,119.259,2/10/2019,Credit card,113.58,4.761904762,5.679,8.1
50,Phoenix,Female,Fashion accessories,41.315,867.615,3/19/2019,Mobile payments,826.3,4.761904762,41.315,7.9
51,Phoenix,Male,Food and beverages,31.99,671.79,2/3/2019,Gift cards,639.8,4.761904762,31.99,9.5
52,Seattle,Female,Food and beverages,11.1475,234.0975,2/10/2019,Gift cards,222.95,4.761904762,11.1475,8.5
53,St. Louis,Female,Fashion accessories,3.574,75.054,3/22/2019,Mobile payments,71.48,4.761904762,3.574,6.5
54,Phoenix,Male,Fashion accessories,0.7715,16.2015,1/25/2019,Credit card,15.43,4.761904762,0.7715,6.1
55,St. Louis,Male,Home and lifestyle,1.616,33.936,3/7/2019,Mobile payments,32.32,4.761904762,1.616,6.5
56,Phoenix,Female,Electronic accessories,34.392,722.232,2/28/2019,Gift cards,687.84,4.761904762,34.392,8.2
57,Seattle,Male,Home and lifestyle,4.434,93.114,3/27/2019,Gift cards,88.68,4.761904762,4.434,5.8
58,Seattle,Male,Health and beauty,35.84,752.64,2/7/2019,Mobile payments,716.8,4.761904762,35.84,6.6
59,Seattle,Female,Home and lifestyle,36.175,759.675,1/20/2019,Gift cards,723.5,4.761904762,36.175,5.4
60,Phoenix,Male,Electronic accessories,9.183,192.843,3/12/2019,Gift cards,183.66,4.761904762,9.183,9.3
61,Phoenix,Female,Sports and travel,3.711,77.931,2/15/2019,Credit card,74.22,4.761904762,3.711,10
62,Phoenix,Male,Home and lifestyle,16.719,351.099,2/24/2019,Mobile payments,334.38,4.761904762,16.719,7
63,St. Louis,Female,Sports and travel,24.7815,520.4115,2/3/2019,Mobile payments,495.63,4.761904762,24.7815,10
64,Seattle,Male,Sports and travel,7.905,166.005,3/6/2019,Credit card,158.1,4.761904762,7.905,8.6
65,St. Louis,Male,Health and beauty,15.148,318.108,2/14/2019,Gift cards,302.96,4.761904762,15.148,7.6
66,Seattle,Male,Health and beauty,7.935,166.635,3/13/2019,Gift cards,158.7,4.761904762,7.935,5.8
67,Phoenix,Female,Health and beauty,3.347,70.287,2/10/2019,Mobile payments,66.94,4.761904762,3.347,6.7
68,St. Louis,Female,Fashion accessories,29.283,614.943,1/7/2019,Mobile payments,585.66,4.761904762,29.283,9.9
69,Seattle,Male,Sports and travel,39.385,827.085,1/24/2019,Gift cards,787.7,4.761904762,39.385,6.4
70,Seattle,Female,Health and beauty,0.9165,19.2465,2/2/2019,Gift cards,18.33,4.761904762,0.9165,4.3
71,Phoenix,Male,Food and beverages,44.74,939.54,1/6/2019,Credit card,894.8,4.761904762,44.74,9.6
72,Phoenix,Male,Fashion accessories,31.06,652.26,2/11/2019,Gift cards,621.2,4.761904762,31.06,5.9
73,St. Louis,Female,Food and beverages,7.278,152.838,3/5/2019,Mobile payments,145.56,4.761904762,7.278,4
74,Phoenix,Female,Electronic accessories,22.773,478.233,3/9/2019,Gift cards,455.46,4.761904762,22.773,8.7
75,Seattle,Male,Home and lifestyle,33.6015,705.6315,1/22/2019,Mobile payments,672.03,4.761904762,33.6015,9.4
76,Phoenix,Female,Electronic accessories,20.825,437.325,1/13/2019,Credit card,416.5,4.761904762,20.825,5.4
77,Phoenix,Male,Fashion accessories,22.068,463.428,1/9/2019,Credit card,441.36,4.761904762,22.068,8.6
78,Seattle,Female,Fashion accessories,9.0045,189.0945,1/12/2019,Credit card,180.09,4.761904762,9.0045,5.7
79,Phoenix,Female,Food and beverages,39.155,822.255,3/5/2019,Mobile payments,783.1,4.761904762,39.155,6.6
80,Phoenix,Female,Health and beauty,5.095,106.995,1/22/2019,Gift cards,101.9,4.761904762,5.095,6
81,Phoenix,Female,Health and beauty,29.757,624.897,1/21/2019,Credit card,595.14,4.761904762,29.757,5.5
82,St. Louis,Female,Food and beverages,14.502,304.542,1/26/2019,Mobile payments,290.04,4.761904762,14.502,6.4
83,Phoenix,Male,Food and beverages,7.7,161.7,1/23/2019,Mobile payments,154,4.761904762,7.7,6.6
84,Phoenix,Female,Food and beverages,16.072,337.512,2/23/2019,Credit card,321.44,4.761904762,16.072,8.3
85,Phoenix,Male,Sports and travel,12.2275,256.7775,3/9/2019,Gift cards,244.55,4.761904762,12.2275,6.6
86,Phoenix,Female,Sports and travel,29.071,610.491,3/5/2019,Mobile payments,581.42,4.761904762,29.071,4
87,Phoenix,Male,Fashion accessories,19.13,401.73,3/25/2019,Gift cards,382.6,4.761904762,19.13,9.9
88,Seattle,Male,Food and beverages,17.283,362.943,3/27/2019,Credit card,345.66,4.761904762,17.283,7.3
89,Seattle,Male,Sports and travel,2.1235,44.5935,1/2/2019,Gift cards,42.47,4.761904762,2.1235,5.7
90,St. Louis,Female,Health and beauty,23.097,485.037,2/27/2019,Gift cards,461.94,4.761904762,23.097,6.1
91,Phoenix,Female,Home and lifestyle,9.476,198.996,1/23/2019,Mobile Payments,189.52,4.761904762,9.476,7.1
92,Phoenix,Female,Sports and travel,22.43,471.03,1/26/2019,Mobile payments,448.6,4.761904762,22.43,8.2
93,Seattle,Female,Sports and travel,7.693,161.553,1/10/2019,Mobile payments,153.86,4.761904762,7.693,5.1
94,St. Louis,Male,Health and beauty,28.962,608.202,3/12/2019,Credit card,579.24,4.761904762,28.962,8.6
95,Phoenix,Male,Health and beauty,4.4875,94.2375,2/6/2019,Credit card,89.75,4.761904762,4.4875,6.6
96,Seattle,Male,Electronic accessories,4.858,102.018,3/8/2019,Mobile payments,97.16,4.761904762,4.858,7.2
97,St. Louis,Male,Health and beauty,43.935,922.635,3/29/2019,Mobile payments,878.7,4.761904762,43.935,5.1
98,Phoenix,Female,Electronic accessories,3.735,78.435,2/9/2019,Gift cards,74.7,4.761904762,3.735,4.1
99,Seattle,Male,Food and beverages,7.9125,166.1625,3/23/2019,Mobile payments,158.25,4.761904762,7.9125,9.3
100,St. Louis,Male,Home and lifestyle,24.81,521.01,3/5/2019,Gift cards,496.2,4.761904762,24.81,7.4
101,Phoenix,Male,Fashion accessories,2.4355,51.1455,3/26/2019,Gift cards,48.71,4.761904762,2.4355,4.1
102,Phoenix,Male,Fashion accessories,35.3475,742.2975,3/1/2019,Gift cards,706.95,4.761904762,35.3475,7.2
103,Phoenix,Female,Electronic accessories,10.3815,218.0115,2/1/2019,Gift cards,207.63,4.761904762,10.3815,4.9
104,Seattle,Male,Food and beverages,17.478,367.038,3/28/2019,Gift cards,349.56,4.761904762,17.478,9.9
105,St. Louis,Male,Health and beauty,10.6225,223.0725,3/19/2019,Gift cards,212.45,4.761904762,10.6225,8
106,Seattle,Male,Electronic accessories,44.335,931.035,1/12/2019,Mobile payments,886.7,4.761904762,44.335,7.3
107,Phoenix,Male,Fashion accessories,8.214,172.494,1/5/2019,Credit card,164.28,4.761904762,8.214,7.9
108,Seattle,Male,Sports and travel,18.639,391.419,3/22/2019,Gift cards,372.78,4.761904762,18.639,7.4
109,Phoenix,Female,Food and beverages,15.291,321.111,3/24/2019,Gift cards,305.82,4.761904762,15.291,4.2
110,Phoenix,Male,Electronic accessories,40.985,860.685,3/3/2019,Gift cards,819.7,4.761904762,40.985,9.2
111,St. Louis,Female,Sports and travel,1.649,34.629,2/5/2019,Mobile payments,32.98,4.761904762,1.649,4.6
112,Phoenix,Female,Health and beauty,14.7315,309.3615,2/5/2019,Credit card,294.63,4.761904762,14.7315,7.8
113,St. Louis,Female,Fashion accessories,25.494,535.374,2/15/2019,Gift cards,509.88,4.761904762,25.494,8.4
114,Seattle,Male,Home and lifestyle,26.1315,548.7615,1/19/2019,Mobile payments,522.63,4.761904762,26.1315,4.3
115,Phoenix,Female,Home and lifestyle,36.3555,763.4655,2/1/2019,Credit card,727.11,4.761904762,36.3555,9.5
116,Phoenix,Female,Fashion accessories,4.053,85.113,3/2/2019,Credit card,81.06,4.761904762,4.053,7.1
117,St. Louis,Male,Fashion accessories,5.485,115.185,3/5/2019,Mobile payments,109.7,4.761904762,5.485,5.3
118,St. Louis,Male,Fashion accessories,2.568,53.928,1/16/2019,Mobile payments,51.36,4.761904762,2.568,5.2
119,Seattle,Female,Food and beverages,5.48,115.08,2/2/2019,Mobile payments,109.6,4.761904762,5.48,6
120,St. Louis,Male,Home and lifestyle,5.344,112.224,1/20/2019,Mobile payments,106.88,4.761904762,5.344,4.1
121,Seattle,Female,Electronic accessories,39.824,836.304,2/14/2019,Credit card,796.48,4.761904762,39.824,5.2
122,Phoenix,Male,Sports and travel,19.992,419.832,1/12/2019,Credit card,399.84,4.761904762,19.992,6.5
123,St. Louis,Male,Sports and travel,44.982,944.622,3/9/2019,Credit card,899.64,4.761904762,44.982,4.2
124,Phoenix,Male,Home and lifestyle,25.564,536.844,3/13/2019,Credit card,511.28,4.761904762,25.564,4.6
125,St. Louis,Female,Fashion accessories,22.588,474.348,3/9/2019,Mobile payments,451.76,4.761904762,22.588,7.3
126,Seattle,Female,Home and lifestyle,32.7915,688.6215,3/10/2019,Credit card,655.83,4.761904762,32.7915,4.5
127,Seattle,Female,Sports and travel,8.0625,169.3125,1/27/2019,Gift cards,161.25,4.761904762,8.0625,9
128,Phoenix,Female,Fashion accessories,14.2785,299.8485,1/8/2019,Credit card,285.57,4.761904762,14.2785,5.9
129,Phoenix,Female,Food and beverages,27.416,575.736,1/8/2019,Mobile payments,548.32,4.761904762,27.416,8.5
130,St. Louis,Female,Sports and travel,40.626,853.146,2/8/2019,Mobile payments,812.52,4.761904762,40.626,7.2
131,St. Louis,Female,Fashion accessories,13.867,291.207,1/25/2019,Gift cards,277.34,4.761904762,13.867,7.5
132,Seattle,Female,Sports and travel,27.639,580.419,3/6/2019,Gift cards,552.78,4.761904762,27.639,8.3
133,St. Louis,Female,Sports and travel,6.968,146.328,2/10/2019,Gift cards,139.36,4.761904762,6.968,7.4
134,St. Louis,Male,Electronic accessories,26.235,550.935,2/17/2019,Credit card,524.7,4.761904762,26.235,8.8
135,Phoenix,Female,Health and beauty,24.39,512.19,3/8/2019,Mobile payments,487.8,4.761904762,24.39,5.3
136,Phoenix,Male,Fashion accessories,13.533,284.193,2/18/2019,Gift cards,270.66,4.761904762,13.533,6.2
137,Seattle,Female,Electronic accessories,6.5775,138.1275,1/18/2019,Credit card,131.55,4.761904762,6.5775,8.8
138,Seattle,Female,Home and lifestyle,10.326,216.846,2/18/2019,Gift cards,206.52,4.761904762,10.326,9.8
139,St. Louis,Male,Sports and travel,25.955,545.055,2/16/2019,Gift cards,519.1,4.761904762,25.955,8.2
140,Seattle,Male,Sports and travel,29,609,3/16/2019,Mobile payments,580,4.761904762,29,9.2
141,Phoenix,Female,Sports and travel,44.9,942.9,1/23/2019,Credit card,898,4.761904762,44.9,5.4
142,Phoenix,Male,Health and beauty,45.25,950.25,1/25/2019,Gift cards,905,4.761904762,45.25,8.1
143,Phoenix,Female,Health and beauty,34.3,720.3,2/5/2019,Gift cards,686,4.761904762,34.3,9.1
144,Phoenix,Female,Food and beverages,1.5205,31.9305,2/22/2019,Credit card,30.41,4.761904762,1.5205,8.4
145,Seattle,Female,Home and lifestyle,23.385,491.085,1/21/2019,Mobile payments,467.7,4.761904762,23.385,8
146,Phoenix,Female,Health and beauty,13.878,291.438,3/8/2019,Credit card,277.56,4.761904762,13.878,9.5
147,Seattle,Female,Fashion accessories,15.07,316.47,2/10/2019,Mobile payments,301.4,4.761904762,15.07,9.2
148,Phoenix,Male,Health and beauty,13.228,277.788,3/19/2019,Credit card,264.56,4.761904762,13.228,5.6
149,St. Louis,Male,Home and lifestyle,28.744,603.624,3/6/2019,Credit card,574.88,4.761904762,28.744,6.2
150,Seattle,Male,Health and beauty,12.984,272.664,3/27/2019,Credit card,259.68,4.761904762,12.984,4.9
151,St. Louis,Female,Fashion accessories,18.308,384.468,3/23/2019,Credit card,366.16,4.761904762,18.308,4.8
152,Phoenix,Male,Sports and travel,12.096,254.016,3/11/2019,Credit card,241.92,4.761904762,12.096,7.3
153,Seattle,Male,Fashion accessories,37.458,786.618,1/29/2019,Credit card,749.16,4.761904762,37.458,7.4
154,Phoenix,Female,Food and beverages,4.944,103.824,2/7/2019,Mobile payments,98.88,4.761904762,4.944,9.9
155,Phoenix,Female,Sports and travel,32.388,680.148,1/28/2019,Gift cards,647.76,4.761904762,32.388,9.3
156,Seattle,Male,Food and beverages,23.0725,484.5225,2/20/2019,Credit card,461.45,4.761904762,23.0725,9
157,St. Louis,Male,Electronic accessories,3.6085,75.7785,1/4/2019,Gift cards,72.17,4.761904762,3.6085,6.1
158,St. Louis,Male,Home and lifestyle,12.57,263.97,3/7/2019,Mobile payments,251.4,4.761904762,12.57,9.7
159,St. Louis,Male,Health and beauty,43.749,918.729,3/30/2019,Mobile payments,874.98,4.761904762,43.749,6
160,St. Louis,Male,Sports and travel,28.017,588.357,3/27/2019,Mobile payments,560.34,4.761904762,28.017,10
161,Phoenix,Female,Food and beverages,17.272,362.712,1/19/2019,Credit card,345.44,4.761904762,17.272,8.3
162,Seattle,Male,Sports and travel,3.1845,66.8745,2/25/2019,Gift cards,63.69,4.761904762,3.1845,6
163,Seattle,Male,Food and beverages,16.0265,336.5565,3/13/2019,Credit card,320.53,4.761904762,16.0265,7
164,Phoenix,Male,Sports and travel,7.64,160.44,1/30/2019,Mobile payments,152.8,4.761904762,7.64,6.5
165,St. Louis,Male,Food and beverages,19.95,418.95,2/20/2019,Credit card,399,4.761904762,19.95,5.9
166,St. Louis,Male,Health and beauty,17.028,357.588,2/25/2019,Mobile payments,340.56,4.761904762,17.028,5.6
167,Phoenix,Male,Home and lifestyle,47.79,1003.59,1/16/2019,Gift cards,955.8,4.761904762,47.79,4.8
168,Seattle,Male,Fashion accessories,49.49,1039.29,2/8/2019,Credit card,989.8,4.761904762,49.49,8.7
169,Seattle,Male,Food and beverages,15.384,323.064,1/19/2019,Gift cards,307.68,4.761904762,15.384,6.5
170,Seattle,Male,Sports and travel,24.332,510.972,2/1/2019,Credit card,486.64,4.761904762,24.332,8.5
171,Seattle,Male,Health and beauty,17.5025,367.5525,1/3/2019,Mobile payments,350.05,4.761904762,17.5025,5.5
172,St. Louis,Male,Food and beverages,20.0125,420.2625,1/26/2019,Credit card,400.25,4.761904762,20.0125,9.4
173,Phoenix,Male,Electronic accessories,8.34,175.14,3/3/2019,Gift cards,166.8,4.761904762,8.34,6.3
174,St. Louis,Male,Electronic accessories,15.867,333.207,1/19/2019,Credit card,317.34,4.761904762,15.867,9.8
175,St. Louis,Male,Food and beverages,7.916,166.236,1/18/2019,Mobile payments,158.32,4.761904762,7.916,8.7
176,Seattle,Male,Home and lifestyle,15.228,319.788,3/21/2019,Mobile payments,304.56,4.761904762,15.228,8.8
177,Seattle,Male,Food and beverages,8.868,186.228,3/3/2019,Credit card,177.36,4.761904762,8.868,9.6
178,Phoenix,Female,Fashion accessories,7.8785,165.4485,2/13/2019,Credit card,157.57,4.761904762,7.8785,4.8
179,Seattle,Male,Food and beverages,22.164,465.444,3/23/2019,Mobile payments,443.28,4.761904762,22.164,4.4
180,Phoenix,Male,Health and beauty,13.02,273.42,1/28/2019,Mobile payments,260.4,4.761904762,13.02,9.9
181,Phoenix,Male,Fashion accessories,22.491,472.311,2/9/2019,Gift cards,449.82,4.761904762,22.491,5.7
182,Phoenix,Male,Food and beverages,15.388,323.148,1/23/2019,Gift cards,307.76,4.761904762,15.388,7.7
183,Seattle,Male,Sports and travel,7.75,162.75,3/23/2019,Mobile payments,155,4.761904762,7.75,8
184,Phoenix,Male,Health and beauty,13.724,288.204,1/25/2019,Mobile payments,274.48,4.761904762,13.724,5.7
185,Seattle,Female,Sports and travel,4.319,90.699,3/4/2019,Credit card,86.38,4.761904762,4.319,6.7
186,St. Louis,Male,Food and beverages,2.712,56.952,3/5/2019,Mobile payments,54.24,4.761904762,2.712,8
187,St. Louis,Female,Home and lifestyle,37.796,793.716,3/3/2019,Mobile payments,755.92,4.761904762,37.796,7.5
188,St. Louis,Male,Home and lifestyle,9.294,195.174,2/8/2019,Gift cards,185.88,4.761904762,9.294,7
189,Seattle,Male,Home and lifestyle,3.7035,77.7735,2/10/2019,Mobile payments,74.07,4.761904762,3.7035,9.9
190,Phoenix,Female,Home and lifestyle,13.962,293.202,1/28/2019,Credit card,279.24,4.761904762,13.962,5.9
191,St. Louis,Female,Home and lifestyle,11.556,242.676,2/11/2019,Credit card,231.12,4.761904762,11.556,7.2
192,St. Louis,Female,Fashion accessories,7.352,154.392,1/15/2019,Mobile payments,147.04,4.761904762,7.352,4.6
193,Phoenix,Female,Food and beverages,39.51,829.71,3/16/2019,Gift cards,790.2,4.761904762,39.51,9.2
194,St. Louis,Male,Home and lifestyle,5.11,107.31,1/26/2019,Mobile payments,102.2,4.761904762,5.11,5.7
195,Seattle,Male,Electronic accessories,8.1775,171.7275,3/19/2019,Credit card,163.55,4.761904762,8.1775,9.9
196,Phoenix,Female,Fashion accessories,3.7145,78.0045,1/13/2019,Gift cards,74.29,4.761904762,3.7145,5
197,Phoenix,Male,Health and beauty,4.37,91.77,3/26/2019,Gift cards,87.4,4.761904762,4.37,4.9
198,Seattle,Female,Home and lifestyle,1.2645,26.5545,3/23/2019,Mobile payments,25.29,4.761904762,1.2645,6.1
199,Phoenix,Male,Health and beauty,8.3,174.3,3/12/2019,Credit card,166,4.761904762,8.3,8.2
200,Phoenix,Female,Food and beverages,17.8475,374.7975,2/17/2019,Credit card,356.95,4.761904762,17.8475,5.5
201,Phoenix,Female,Sports and travel,5.745,120.645,1/29/2019,Credit card,114.9,4.761904762,5.745,6.8
202,St. Louis,Female,Electronic accessories,11.498,241.458,3/15/2019,Gift cards,229.96,4.761904762,11.498,6.6
203,Phoenix,Male,Electronic accessories,21.4935,451.3635,1/14/2019,Gift cards,429.87,4.761904762,21.4935,9.8
204,St. Louis,Male,Health and beauty,12.95,271.95,2/6/2019,Mobile payments,259,4.761904762,12.95,8.7
205,St. Louis,Male,Home and lifestyle,4.4425,93.2925,2/15/2019,Credit card,88.85,4.761904762,4.4425,5.4
206,Seattle,Female,Health and beauty,10.3635,217.6335,1/3/2019,Mobile payments,207.27,4.761904762,10.3635,7.9
207,Phoenix,Female,Electronic accessories,29.9925,629.8425,1/4/2019,Credit card,599.85,4.761904762,29.9925,9.7
208,Phoenix,Female,Home and lifestyle,14.265,299.565,3/18/2019,Mobile payments,285.3,4.761904762,14.265,7.8
209,St. Louis,Female,Fashion accessories,4.5555,95.6655,3/28/2019,Mobile payments,91.11,4.761904762,4.5555,5.1
210,St. Louis,Female,Electronic accessories,44.8785,942.4485,3/2/2019,Credit card,897.57,4.761904762,44.8785,6.5
211,Seattle,Male,Electronic accessories,11.8035,247.8735,1/25/2019,Mobile payments,236.07,4.761904762,11.8035,5.9
212,Phoenix,Female,Food and beverages,41.967,881.307,1/16/2019,Gift cards,839.34,4.761904762,41.967,8.8
213,St. Louis,Male,Home and lifestyle,23.09,484.89,3/20/2019,Mobile payments,461.8,4.761904762,23.09,4.9
214,St. Louis,Male,Sports and travel,6.963,146.223,1/4/2019,Credit card,139.26,4.761904762,6.963,4.4
215,St. Louis,Female,Sports and travel,10.3635,217.6335,3/11/2019,Gift cards,207.27,4.761904762,10.3635,6.5
216,Seattle,Male,Home and lifestyle,0.914,19.194,3/22/2019,Credit card,18.28,4.761904762,0.914,8.3
217,St. Louis,Female,Sports and travel,6.1925,130.0425,3/24/2019,Gift cards,123.85,4.761904762,6.1925,8.5
218,Seattle,Female,Electronic accessories,14.196,298.116,2/21/2019,Gift cards,283.92,4.761904762,14.196,5.5
219,St. Louis,Male,Fashion accessories,37.948,796.908,2/12/2019,Mobile payments,758.96,4.761904762,37.948,8.7
220,St. Louis,Female,Food and beverages,8.601,180.621,3/10/2019,Credit card,172.02,4.761904762,8.601,7.9
221,St. Louis,Male,Electronic accessories,13.605,285.705,1/31/2019,Mobile payments,272.1,4.761904762,13.605,6.1
222,St. Louis,Male,Food and beverages,21.728,456.288,3/6/2019,Mobile payments,434.56,4.761904762,21.728,5.4
223,Phoenix,Male,Electronic accessories,2.9525,62.0025,2/17/2019,Gift cards,59.05,4.761904762,2.9525,9.4
224,Phoenix,Female,Fashion accessories,0.627,13.167,2/21/2019,Gift cards,12.54,4.761904762,0.627,8.2
225,Seattle,Male,Food and beverages,4.325,90.825,3/20/2019,Gift cards,86.5,4.761904762,4.325,6.2
226,Phoenix,Female,Sports and travel,8.716,183.036,1/11/2019,Credit card,174.32,4.761904762,8.716,9.7
227,St. Louis,Male,Health and beauty,31.2165,655.5465,1/26/2019,Mobile payments,624.33,4.761904762,31.2165,4
228,Phoenix,Male,Electronic accessories,7.412,155.652,1/31/2019,Mobile payments,148.24,4.761904762,7.412,9.7
229,St. Louis,Female,Electronic accessories,27.21,571.41,2/26/2019,Gift cards,544.2,4.761904762,27.21,5.3
230,Seattle,Female,Home and lifestyle,25.368,532.728,3/11/2019,Mobile payments,507.36,4.761904762,25.368,7.4
231,St. Louis,Female,Fashion accessories,8.137,170.877,1/26/2019,Gift cards,162.74,4.761904762,8.137,6.5
232,St. Louis,Female,Electronic accessories,1.5885,33.3585,3/12/2019,Credit card,31.77,4.761904762,1.5885,8.7
233,St. Louis,Female,Health and beauty,37.8405,794.6505,2/11/2019,Gift cards,756.81,4.761904762,37.8405,8
234,St. Louis,Male,Fashion accessories,14.764,310.044,2/21/2019,Gift cards,295.28,4.761904762,14.764,6.7
235,Seattle,Male,Health and beauty,25.97,545.37,3/9/2019,Mobile payments,519.4,4.761904762,25.97,6.5
236,Seattle,Female,Sports and travel,9.314,195.594,1/20/2019,Mobile payments,186.28,4.761904762,9.314,4.1
237,Phoenix,Male,Health and beauty,4.3525,91.4025,1/28/2019,Credit card,87.05,4.761904762,4.3525,4.9
238,Phoenix,Female,Fashion accessories,11.055,232.155,3/5/2019,Credit card,221.1,4.761904762,11.055,8.6
239,St. Louis,Female,Electronic accessories,3.305,69.405,3/2/2019,Gift cards,66.1,4.761904762,3.305,4.3
